"Timestamp","Direction","Topic","Payload"
"2026-08-14T07:08:44.474Z","IN","m360/DF/0000/out/1/6/1/0/37","250"
"2026-08-14T07:09:23.273Z","IN","m360/DF/0000/out/2/1/1/0/37","131"
"2026-08-14T07:09:23.274Z","IN","m360/DF/0000/out/2/1/1/0/37","131"
"2026-08-14T07:09:23.363Z","IN","m360/DF/0000/out/2/2/1/0/37","428"
"2026-08-14T07:09:23.364Z","IN","m360/DF/0000/out/2/2/1/0/37","428"
"2026-08-14T07:09:23.655Z","IN","m360/DF/0000/out/2/3/1/0/37","1023"
"2026-08-14T07:09:23.655Z","IN","m360/DF/0000/out/2/3/1/0/37","1023"
"2026-08-14T07:09:23.655Z","IN","m360/DF/0000/out/2/5/1/0/37","573"
"2026-08-14T07:09:23.655Z","IN","m360/DF/0000/out/2/5/1/0/37","573"
"2026-08-14T07:09:23.655Z","IN","m360/DF/0000/out/2/6/1/0/37","399"
"2026-08-14T07:09:23.656Z","IN","m360/DF/0000/out/2/6/1/0/37","399"
"2026-08-14T07:09:26.081Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":34921,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":34921,""rssi"":-64,""wifiRssi"":-64,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-14T07:09:26.081Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":34921,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":34921,""rssi"":-64,""wifiRssi"":-64,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-14T07:09:26.098Z","IN","m360/DF/0000/gateway/status","{""timestamp"":34921,""isConnected"":true,""connectionTime"":34913,""reconnectCount"":0,""lastErrorCode"":0,""uptime"":34921,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-14T07:09:44.078Z","IN","m360/DF/0000/out/1/2/1/0/37","237"
"2026-08-14T07:09:44.078Z","IN","m360/DF/0000/out/1/2/1/0/37","237"
"2026-08-14T07:09:44.319Z","IN","m360/DF/0000/out/1/3/1/0/37","103"
"2026-08-14T07:09:44.320Z","IN","m360/DF/0000/out/1/3/1/0/37","103"
"2026-08-14T07:09:44.322Z","IN","m360/DF/0000/out/1/4/1/0/37","406"
