"Timestamp","Direction","Topic","Payload"
"2026-08-05T13:14:46.220Z","IN","m360/DF/0000/out/2/1/1/0/37","102"
"2026-08-05T13:14:46.292Z","IN","m360/DF/0000/out/2/2/1/0/37","1000"
"2026-08-05T13:14:46.292Z","IN","m360/DF/0000/out/2/3/1/0/37","1019"
"2026-08-05T13:14:46.327Z","IN","m360/DF/0000/out/2/5/1/0/37","1012"
"2026-08-05T13:14:46.368Z","IN","m360/DF/0000/out/2/6/1/0/37","853"
"2026-08-05T13:15:13.667Z","IN","m360/DF/0000/out/events","{""event"":""node_discovered"",""nodeId"":99,""timestamp"":505288,""rssi"":-61,""details"":""Node discovered, parent: 0""}"
"2026-08-05T13:15:13.863Z","IN","m360/DF/0000/out/99/255/3/0/21","0"
"2026-08-05T13:15:13.878Z","IN","m360/DF/0000/out/events","{""event"":""node_discovered"",""nodeId"":1,""timestamp"":505288,""rssi"":-61,""details"":""Node discovered, parent: 0""}"
"2026-08-05T13:15:13.878Z","IN","m360/DF/0000/out/1/255/3/0/21","0"
"2026-08-05T13:15:14.415Z","IN","m360/DF/0000/out/events","{""event"":""node_discovered"",""nodeId"":2,""timestamp"":505289,""rssi"":-61,""details"":""Node discovered, parent: 0""}"
"2026-08-05T13:15:14.434Z","IN","m360/DF/0000/out/2/255/3/0/21","0"
"2026-08-05T13:15:23.386Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505298,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505298,""rssi"":-61,""wifiRssi"":-61,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:15:23.446Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505298,""isConnected"":true,""connectionTime"":408952,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505298,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:15:31.581Z","IN","m360/DF/0000/out/1/1/1/0/37","1014"
"2026-08-05T13:15:31.614Z","IN","m360/DF/0000/out/1/2/1/0/37","938"
